parent	names	summary	details	attribute
access	allow	A rule that grants a permission type.		FALSE
access	deny	A rule that revokes a permission type.		FALSE
access	references	The id of another element in this EML document to be used to here in this context.		FALSE
access	id			TRUE
access	system			TRUE
access	scope			TRUE
access	order	The order in which the allow and deny rules should be applied.		TRUE
access	authSystem	The authentication system is used to verify the user or group to whom access is allowed or denied.		TRUE
allow	principal	The user or group (principal) for which the access control applies.		FALSE
allow	permission	The type of permission being granted or denied.		FALSE
deny	principal	The user or group (principal) for which the access control applies.		FALSE
deny	permission	The type of permission being granted or denied.		FALSE
attribute	attributeName	The name of the attribute		FALSE
attribute	attributeLabel	A label for displaying an attribute name.		FALSE
attribute	attributeDefinition	Precise definition of the attribute		FALSE
attribute	storageType	Storage type hint for this field		FALSE
attribute	measurementScale	The measurement scale for the attribute.		FALSE
attribute	missingValueCode	Character for missing value in the data of the field		FALSE
attribute	accuracy	The accuracy of the attribute. This information should describe any accuracy information that is known about the collection of this data attribute.		FALSE
attribute	coverage	An explanation of the coverage of the attribute.		FALSE
attribute	methods	An explanation of the methods involved in the collection of this attribute.		FALSE
attribute	references	The id of another element in this EML document to be used to here in this context.		FALSE
attribute	id			TRUE
attribute	system			TRUE
attribute	scope			TRUE
storageType	typeSystem	The system used to define the storage types. This should be an identifier of a well known and published typing system.		TRUE
measurementScale	nominal	Characteristics used to define nominal (categorical) scale attributes		FALSE
measurementScale	ordinal	Characteristics used to define ordinal (ordered) scale attributes		FALSE
measurementScale	interval	Characteristics used to define interval scale attributes		FALSE
measurementScale	ratio	Characteristics used to define ratio scale attributes		FALSE
measurementScale	dateTime	Characteristics used to define date and time attributes		FALSE
nominal	nonNumericDomain			FALSE
nonNumericDomain	enumeratedDomain	Description of any coded values associated with the attribute.		FALSE
nonNumericDomain	textDomain	Description of a free-text domain pattern for the attribute		FALSE
nonNumericDomain	references	The id of another element in this EML document to be used to here in this context.		FALSE
nonNumericDomain	id			TRUE
ordinal	nonNumericDomain			FALSE
interval	unit			FALSE
interval	precision			FALSE
interval	numericDomain			FALSE
unit	standardUnit	The name of a standard unit used to make this measurement		FALSE
unit	customUnit	The name of a custom unit used to make this measurement.		FALSE
numericDomain	numberType			FALSE
numericDomain	bounds	Elements for specifying allowed values range.		FALSE
numericDomain	references	The id of another element in this EML document to be used to here in this context.		FALSE
numericDomain	id			TRUE
ratio	unit			FALSE
ratio	precision			FALSE
ratio	numericDomain			FALSE
dateTime	formatString	A format string that describes the format for a date-time value from the Gregorian calendar.		FALSE
dateTime	dateTimePrecision	An indication of the precision of a date or time value		FALSE
dateTime	dateTimeDomain	See the summary for the type: DateTimeDomainType		FALSE
dateTimeDomain	bounds	Elements for specifying allowed date range.		FALSE
dateTimeDomain	references	The id of another element in this EML document to be used to here in this context.		FALSE
dateTimeDomain	id			TRUE
missingValueCode	code	The missing value code itself.		FALSE
missingValueCode	codeExplanation	An explanation of what the missing value code means.		FALSE
accuracy	attributeAccuracyReport	An explanatory report of the accuracy of the attribute.		FALSE
accuracy	quantitativeAttributeAccuracyAssessment	A value assigned to summarize the accuracy of the attribute.		FALSE
coverage	geographicCoverage	Geographic coverage information.		FALSE
coverage	temporalCoverage	Temporal coverage information.		FALSE
coverage	taxonomicCoverage	Taxonomic coverage information.		FALSE
coverage	references	The id of another element in this EML document to be used to here in this context.		FALSE
coverage	id			TRUE
coverage	system			TRUE
coverage	scope			TRUE
methods	methodStep	Information about the methods employed in collecting or generating a data set or other resource.		FALSE
methods	sampling	Description of sampling procedures including the geographic, temporal and taxonomic coverage of the study.		FALSE
methods	qualityControl	Information on possible errors or on the quality of a data set.		FALSE
quantitativeAttributeAccuracyAssessment	attributeAccuracyValue	A value assigned to estimate the accuracy of the attribute.		FALSE
quantitativeAttributeAccuracyAssessment	attributeAccuracyExplanation	The test which yields the Attribute Accuracy Value.		FALSE
attributeList	attribute			FALSE
attributeList	references	The id of another element in this EML document to be used to here in this context.		FALSE
attributeList	id			TRUE
enumeratedDomain	codeDefinition	A codes and its definition		FALSE
enumeratedDomain	externalCodeSet	A reference to an externally defined set of codes used in this attribute		FALSE
enumeratedDomain	entityCodeList	A code list that is defined in a data table		FALSE
enumeratedDomain	enforced	Indicates whether the enumerated domain values enforced.		TRUE
codeDefinition	code	Code value allowed in the domain		FALSE
codeDefinition	definition	Definition of the associated code		FALSE
codeDefinition	source	The name of the source for this code and its definition		FALSE
codeDefinition	order	Mechanism for specifying what the order of the code-definitions included should be		TRUE
externalCodeSet	codesetName	The name of an externally defined code set		FALSE
externalCodeSet	citation	A citation for the code set reference		FALSE
externalCodeSet	codesetURL	A URL for the code set reference		FALSE
citation	alternateIdentifier	A secondary identifier for this entity		FALSE
citation	shortName	A short name that describes the resource, sometimes a filename.		FALSE
citation	title	A brief description of the resource, providing enough detail to differentiate it from other similar resources.		FALSE
citation	creator	The people or organizations who created this resource.		FALSE
citation	metadataProvider	The people or organizations who created provided documentation and other metadata for this resource.		FALSE
citation	associatedParty	Other people or organizations who should be associated with this resource.		FALSE
citation	pubDate	The publication date of the resource.		FALSE
citation	language	The language in which the resource is written.		FALSE
citation	series	The series from which the resource came.		FALSE
citation	abstract	A brief overview of the resource.		FALSE
citation	keywordSet	Keyword information that describes the resource.		FALSE
citation	additionalInfo	Any extra information pertitent to the resource.		FALSE
citation	intellectualRights	Intellectual property rights regarding usage and licensing of this resource.		FALSE
citation	distribution	Information on how the resource is distributed online and offline		FALSE
citation	coverage	Extent of the coverage of the resource.		FALSE
citation	contact	An optional contact individual for this citation		FALSE
citation	article	Information for full citation of a journal article or other periodical article.		FALSE
citation	book	Information for full citation of a book		FALSE
citation	chapter	Information for citation of a chapter in a book		FALSE
citation	editedBook	Information for full citation of an edited book		FALSE
citation	manuscript	Information about an unpublished manuscript		FALSE
citation	report	Information about a report published by an institution.		FALSE
citation	thesis	Information about a thesis that has been written as part of a degree requirement and is frequently published in small numbers by the degree awarding institution.		FALSE
citation	conferenceProceedings	The published notes, papers, presentations etc... of a conference.		FALSE
citation	personalCommunication	A personal communication that has been saved online or as hard-copy.		FALSE
citation	map	This element describes the map that is being cited or cataloged.		FALSE
citation	generic	This reference type was created for references that do not fit in to the other existing reference types		FALSE
citation	audioVisual	This reference type is meant to cover all forms of audio and visual media.		FALSE
citation	presentation	An unpublished presentation from a conference, workshop, workgroup, symposium etc.		FALSE
citation	references	The id of another element in this EML document to be used to here in this context.		FALSE
citation	id			TRUE
citation	system			TRUE
citation	scope			TRUE
entityCodeList	entityReference	A reference to the id of the entity in which the code list has been defined		FALSE
entityCodeList	valueAttributeReference	A reference to the id of the attribute that contains the list of codes		FALSE
entityCodeList	definitionAttributeReference	A reference to the id of the attribute that contains the definition of codes		FALSE
entityCodeList	orderAttributeReference	A reference to the id of the attribute that contains the order of codes		FALSE
textDomain	definition	Definition of what this text domain represents		FALSE
textDomain	pattern	Regular expression pattern constraining the attribute		FALSE
textDomain	source	The name of the source for this text domain.		FALSE
bounds	minimum	Minimum numeric bound of attribute		FALSE
bounds	maximum	Maximum numeric bound of attribute		FALSE
minimum	exclusive	Exclusive bounds flag		TRUE
maximum	exclusive	Exclusive bounds flag		TRUE
bounds	minimum	Minimum date bound of attribute		FALSE
bounds	maximum	Maximum date bound of attribute		FALSE
primaryKey	constraintName	A meaningfull name of the constraint.		FALSE
primaryKey	constraintDescription	Descibes the purpose of the constraint.		FALSE
primaryKey	key	The set of attributes to which this constraint applies.		FALSE
key	attributeReference	The identifier of an attribute found in the identified entity		FALSE
uniqueKey	constraintName	A meaningfull name of the constraint.		FALSE
uniqueKey	constraintDescription	Descibes the purpose of the constraint.		FALSE
uniqueKey	key	The set of attributes to which this constraint applies.		FALSE
checkConstraint	constraintName	A meaningfull name of the constraint.		FALSE
checkConstraint	constraintDescription	Descibes the purpose of the constraint.		FALSE
checkConstraint	checkCondition	An SQL statement or other language implementation of the condition for a check constraint.		FALSE
checkConstraint	language	The language that the is used to express or implement the check constraint.		TRUE
foreignKey	key	The set of attributes to which this constraint applies.		FALSE
foreignKey	entityReference	The id of the parent-entity in a foreign key constraint.		FALSE
foreignKey	relationshipType	Relationship type: Identifying or non-identifying		FALSE
foreignKey	cardinality	Cardinality of the relationship between a parent entity and a child entity.		FALSE
joinCondition	key	The set of attributes to which this constraint applies.		FALSE
joinCondition	entityReference	The id of the parent-entity in a foreign key constraint.		FALSE
joinCondition	relationshipType	Relationship type: Identifying or non-identifying		FALSE
joinCondition	cardinality	Cardinality of the relationship between a parent entity and a child entity.		FALSE
joinCondition	referencedKey	The set of attributes to which a foreign key constraint refers.		FALSE
referencedKey	attributeReference	The identifier of an attribute found in the identified entity		FALSE
notNullConstraint	constraintName	A meaningfull name of the constraint.		FALSE
notNullConstraint	constraintDescription	Descibes the purpose of the constraint.		FALSE
notNullConstraint	key	The set of attributes to which this constraint applies.		FALSE
cardinality	parentOccurences	Parent portion of a 1 to exactly N cardinality. May have a value of either 0 or 1.		FALSE
cardinality	childOccurences	"Child portion of a cardinality expression Allowed values are positive integers including zero or the string value ""many""."		FALSE
geographicCoverage	geographicDescription	Short text description of the geographic areal domain of the data set.		FALSE
geographicCoverage	boundingCoordinates	The four margins (N, S, E, W) of a bounding box on the earth's surface, or when considered in lat-lon pairs, the corners of the box. To define a single point, use the same value in each lat or lon pair. These elements are meant to convey general information and are not for accurate mapping. More specific information may be included by using the elements in the spatialReference schema.		FALSE
geographicCoverage	datasetGPolygon	This construct creates a spatial ring with a hollow center.		FALSE
geographicCoverage	references	The id of another element in this EML document to be used to here in this context.		FALSE
geographicCoverage	id			TRUE
geographicCoverage	system			TRUE
geographicCoverage	scope			TRUE
temporalCoverage	singleDateTime	Means of encoding a single date and time		FALSE
temporalCoverage	rangeOfDates	Means of encoding a range of dates and times.		FALSE
temporalCoverage	references	The id of another element in this EML document to be used to here in this context.		FALSE
temporalCoverage	id			TRUE
temporalCoverage	system			TRUE
temporalCoverage	scope			TRUE
taxonomicCoverage	taxonomicSystem	Documentation of taxonomic sources, procedures, and treatments.		FALSE
taxonomicCoverage	generalTaxonomicCoverage	A description of the range of taxa addressed in the data set or collection.		FALSE
taxonomicCoverage	taxonomicClassification	Information about the range of taxa addressed in the data set or collection.		FALSE
taxonomicCoverage	references	The id of another element in this EML document to be used to here in this context.		FALSE
taxonomicCoverage	id			TRUE
taxonomicCoverage	system			TRUE
taxonomicCoverage	scope			TRUE
singleDateTime	calendarDate	The calendar date for an event.		FALSE
singleDateTime	time	The time of day for an event.		FALSE
singleDateTime	alternativeTimeScale	A name, code, or date describing an event or period in an alternative time scale, such as one of the geologic time scales.		FALSE
rangeOfDates	beginDate	A single time stamp signifying the beginning of some time period		FALSE
rangeOfDates	endDate	A single time stamp signifying the end of some time period		FALSE
beginDate	calendarDate	The calendar date for an event.		FALSE
beginDate	time	The time of day for an event.		FALSE
beginDate	alternativeTimeScale	A name, code, or date describing an event or period in an alternative time scale, such as one of the geologic time scales.		FALSE
endDate	calendarDate	The calendar date for an event.		FALSE
endDate	time	The time of day for an event.		FALSE
endDate	alternativeTimeScale	A name, code, or date describing an event or period in an alternative time scale, such as one of the geologic time scales.		FALSE
alternativeTimeScale	timeScaleName	Name of a recognized alternative time scale.		FALSE
alternativeTimeScale	timeScaleAgeEstimate			FALSE
alternativeTimeScale	timeScaleAgeUncertainty	The error estimate for the alternative time scale.		FALSE
alternativeTimeScale	timeScaleAgeExplanation	The name and/or description of the method used to calculate the time scale age estimate.		FALSE
alternativeTimeScale	timeScaleCitation	Citation for works providing detailed information about any element of the time scale age.		FALSE
timeScaleCitation	alternateIdentifier	A secondary identifier for this entity		FALSE
timeScaleCitation	shortName	A short name that describes the resource, sometimes a filename.		FALSE
timeScaleCitation	title	A brief description of the resource, providing enough detail to differentiate it from other similar resources.		FALSE
timeScaleCitation	creator	The people or organizations who created this resource.		FALSE
timeScaleCitation	metadataProvider	The people or organizations who created provided documentation and other metadata for this resource.		FALSE
timeScaleCitation	associatedParty	Other people or organizations who should be associated with this resource.		FALSE
timeScaleCitation	pubDate	The publication date of the resource.		FALSE
timeScaleCitation	language	The language in which the resource is written.		FALSE
timeScaleCitation	series	The series from which the resource came.		FALSE
timeScaleCitation	abstract	A brief overview of the resource.		FALSE
timeScaleCitation	keywordSet	Keyword information that describes the resource.		FALSE
timeScaleCitation	additionalInfo	Any extra information pertitent to the resource.		FALSE
timeScaleCitation	intellectualRights	Intellectual property rights regarding usage and licensing of this resource.		FALSE
timeScaleCitation	distribution	Information on how the resource is distributed online and offline		FALSE
timeScaleCitation	coverage	Extent of the coverage of the resource.		FALSE
timeScaleCitation	contact	An optional contact individual for this citation		FALSE
timeScaleCitation	article	Information for full citation of a journal article or other periodical article.		FALSE
timeScaleCitation	book	Information for full citation of a book		FALSE
timeScaleCitation	chapter	Information for citation of a chapter in a book		FALSE
timeScaleCitation	editedBook	Information for full citation of an edited book		FALSE
timeScaleCitation	manuscript	Information about an unpublished manuscript		FALSE
timeScaleCitation	report	Information about a report published by an institution.		FALSE
timeScaleCitation	thesis	Information about a thesis that has been written as part of a degree requirement and is frequently published in small numbers by the degree awarding institution.		FALSE
timeScaleCitation	conferenceProceedings	The published notes, papers, presentations etc... of a conference.		FALSE
timeScaleCitation	personalCommunication	A personal communication that has been saved online or as hard-copy.		FALSE
timeScaleCitation	map	This element describes the map that is being cited or cataloged.		FALSE
timeScaleCitation	generic	This reference type was created for references that do not fit in to the other existing reference types		FALSE
timeScaleCitation	audioVisual	This reference type is meant to cover all forms of audio and visual media.		FALSE
timeScaleCitation	presentation	An unpublished presentation from a conference, workshop, workgroup, symposium etc.		FALSE
timeScaleCitation	references	The id of another element in this EML document to be used to here in this context.		FALSE
timeScaleCitation	id			TRUE
timeScaleCitation	system			TRUE
timeScaleCitation	scope			TRUE
boundingCoordinates	westBoundingCoordinate	Western-most limit of a bounding box, expressed in degrees of longitude.		FALSE
boundingCoordinates	eastBoundingCoordinate	Eastern-most limit of a bounding box, expressed in degrees of longitude.		FALSE
boundingCoordinates	northBoundingCoordinate	Northern-most lilmit of a bounding box expressed in latitude.		FALSE
boundingCoordinates	southBoundingCoordinate	Southern-most limit of the bounding box expressed in latitude.		FALSE
boundingCoordinates	boundingAltitudes	The vertical limits of a data set expressed by altitude.		FALSE
boundingAltitudes	altitudeMinimum	The minimum altitude extent of coverage.		FALSE
boundingAltitudes	altitudeMaximum	The maximum altitude extent of coverage.		FALSE
boundingAltitudes	altitudeUnits	The unit of altitude		FALSE
datasetGPolygon	datasetGPolygonOuterGRing	The outer containment loop of a datasetGPolygon.		FALSE
datasetGPolygon	datasetGPolygonExclusionGRing	Data Set G-Polygon Exclusion G-Ring, the closed nonintersecting boundary of a void area (or hole in an interior area).		FALSE
datasetGPolygonOuterGRing	gRingPoint	A single geographic location		FALSE
datasetGPolygonOuterGRing	gRing			FALSE
gRingPoint	gRingLatitude	The latitude of a point of the g-ring.		FALSE
gRingPoint	gRingLongitude			FALSE
datasetGPolygonExclusionGRing	gRingPoint	A single geographic location		FALSE
datasetGPolygonExclusionGRing	gRing			FALSE
taxonomicSystem	classificationSystem	Information about the classification system or authority used.		FALSE
taxonomicSystem	identificationReference			FALSE
taxonomicSystem	identifierName			FALSE
taxonomicSystem	taxonomicProcedures			FALSE
taxonomicSystem	taxonomicCompleteness			FALSE
taxonomicSystem	vouchers			FALSE
classificationSystem	classificationSystemCitation			FALSE
classificationSystem	classificationSystemModifications			FALSE
classificationSystemCitation	alternateIdentifier	A secondary identifier for this entity		FALSE
classificationSystemCitation	shortName	A short name that describes the resource, sometimes a filename.		FALSE
classificationSystemCitation	title	A brief description of the resource, providing enough detail to differentiate it from other similar resources.		FALSE
classificationSystemCitation	creator	The people or organizations who created this resource.		FALSE
classificationSystemCitation	metadataProvider	The people or organizations who created provided documentation and other metadata for this resource.		FALSE
classificationSystemCitation	associatedParty	Other people or organizations who should be associated with this resource.		FALSE
classificationSystemCitation	pubDate	The publication date of the resource.		FALSE
classificationSystemCitation	language	The language in which the resource is written.		FALSE
classificationSystemCitation	series	The series from which the resource came.		FALSE
classificationSystemCitation	abstract	A brief overview of the resource.		FALSE
classificationSystemCitation	keywordSet	Keyword information that describes the resource.		FALSE
classificationSystemCitation	additionalInfo	Any extra information pertitent to the resource.		FALSE
classificationSystemCitation	intellectualRights	Intellectual property rights regarding usage and licensing of this resource.		FALSE
classificationSystemCitation	distribution	Information on how the resource is distributed online and offline		FALSE
classificationSystemCitation	coverage	Extent of the coverage of the resource.		FALSE
classificationSystemCitation	contact	An optional contact individual for this citation		FALSE
classificationSystemCitation	article	Information for full citation of a journal article or other periodical article.		FALSE
classificationSystemCitation	book	Information for full citation of a book		FALSE
classificationSystemCitation	chapter	Information for citation of a chapter in a book		FALSE
classificationSystemCitation	editedBook	Information for full citation of an edited book		FALSE
classificationSystemCitation	manuscript	Information about an unpublished manuscript		FALSE
classificationSystemCitation	report	Information about a report published by an institution.		FALSE
classificationSystemCitation	thesis	Information about a thesis that has been written as part of a degree requirement and is frequently published in small numbers by the degree awarding institution.		FALSE
classificationSystemCitation	conferenceProceedings	The published notes, papers, presentations etc... of a conference.		FALSE
classificationSystemCitation	personalCommunication	A personal communication that has been saved online or as hard-copy.		FALSE
classificationSystemCitation	map	This element describes the map that is being cited or cataloged.		FALSE
classificationSystemCitation	generic	This reference type was created for references that do not fit in to the other existing reference types		FALSE
classificationSystemCitation	audioVisual	This reference type is meant to cover all forms of audio and visual media.		FALSE
classificationSystemCitation	presentation	An unpublished presentation from a conference, workshop, workgroup, symposium etc.		FALSE
classificationSystemCitation	references	The id of another element in this EML document to be used to here in this context.		FALSE
classificationSystemCitation	id			TRUE
classificationSystemCitation	system			TRUE
classificationSystemCitation	scope			TRUE
identificationReference	alternateIdentifier	A secondary identifier for this entity		FALSE
identificationReference	shortName	A short name that describes the resource, sometimes a filename.		FALSE
identificationReference	title	A brief description of the resource, providing enough detail to differentiate it from other similar resources.		FALSE
identificationReference	creator	The people or organizations who created this resource.		FALSE
identificationReference	metadataProvider	The people or organizations who created provided documentation and other metadata for this resource.		FALSE
identificationReference	associatedParty	Other people or organizations who should be associated with this resource.		FALSE
identificationReference	pubDate	The publication date of the resource.		FALSE
identificationReference	language	The language in which the resource is written.		FALSE
identificationReference	series	The series from which the resource came.		FALSE
identificationReference	abstract	A brief overview of the resource.		FALSE
identificationReference	keywordSet	Keyword information that describes the resource.		FALSE
identificationReference	additionalInfo	Any extra information pertitent to the resource.		FALSE
identificationReference	intellectualRights	Intellectual property rights regarding usage and licensing of this resource.		FALSE
identificationReference	distribution	Information on how the resource is distributed online and offline		FALSE
identificationReference	coverage	Extent of the coverage of the resource.		FALSE
identificationReference	contact	An optional contact individual for this citation		FALSE
identificationReference	article	Information for full citation of a journal article or other periodical article.		FALSE
identificationReference	book	Information for full citation of a book		FALSE
identificationReference	chapter	Information for citation of a chapter in a book		FALSE
identificationReference	editedBook	Information for full citation of an edited book		FALSE
identificationReference	manuscript	Information about an unpublished manuscript		FALSE
identificationReference	report	Information about a report published by an institution.		FALSE
identificationReference	thesis	Information about a thesis that has been written as part of a degree requirement and is frequently published in small numbers by the degree awarding institution.		FALSE
identificationReference	conferenceProceedings	The published notes, papers, presentations etc... of a conference.		FALSE
identificationReference	personalCommunication	A personal communication that has been saved online or as hard-copy.		FALSE
identificationReference	map	This element describes the map that is being cited or cataloged.		FALSE
identificationReference	generic	This reference type was created for references that do not fit in to the other existing reference types		FALSE
identificationReference	audioVisual	This reference type is meant to cover all forms of audio and visual media.		FALSE
identificationReference	presentation	An unpublished presentation from a conference, workshop, workgroup, symposium etc.		FALSE
identificationReference	references	The id of another element in this EML document to be used to here in this context.		FALSE
identificationReference	id			TRUE
identificationReference	system			TRUE
identificationReference	scope			TRUE
identifierName	individualName	The full name of the person being described		FALSE
identifierName	organizationName	The full name of the organization being described		FALSE
identifierName	positionName	The name of the title or position associated with the resource.		FALSE
identifierName	address	The full address information for a given responsible party entry.		FALSE
identifierName	phone	Information about the contact's telephone		FALSE
identifierName	electronicMailAddress	The email address of the contact.		FALSE
identifierName	onlineUrl	A link to associated online information, usually a web site.		FALSE
identifierName	userId	An identifier that links this party to a directory of personnel		FALSE
identifierName	references	The id of another element in this EML document to be used to here in this context.		FALSE
identifierName	id			TRUE
identifierName	system			TRUE
identifierName	scope			TRUE
vouchers	specimen			FALSE
vouchers	repository			FALSE
repository	originator	A person or organization asociated with this resource.		FALSE
originator	individualName	The full name of the person being described		FALSE
originator	organizationName	The full name of the organization being described		FALSE
originator	positionName	The name of the title or position associated with the resource.		FALSE
originator	address	The full address information for a given responsible party entry.		FALSE
originator	phone	Information about the contact's telephone		FALSE
originator	electronicMailAddress	The email address of the contact.		FALSE
originator	onlineUrl	A link to associated online information, usually a web site.		FALSE
originator	userId	An identifier that links this party to a directory of personnel		FALSE
originator	references	The id of another element in this EML document to be used to here in this context.		FALSE
originator	id			TRUE
originator	system			TRUE
originator	scope			TRUE
taxonomicClassification	taxonRankName	The name of the taxonomic rank for which the Taxon rank value is provided.		FALSE
taxonomicClassification	taxonRankValue	The name representing the taxonomic rank of the taxon being described.		FALSE
taxonomicClassification	commonName	Specification of applicable common names.		FALSE
taxonomicClassification	taxonomicClassification	Information about the range of taxa addressed in the data set or collection.		FALSE
dataset	alternateIdentifier	A secondary identifier for this entity		FALSE
dataset	shortName	A short name that describes the resource, sometimes a filename.		FALSE
dataset	title	A brief description of the resource, providing enough detail to differentiate it from other similar resources.		FALSE
dataset	creator	The people or organizations who created this resource.		FALSE
dataset	metadataProvider	The people or organizations who created provided documentation and other metadata for this resource.		FALSE
dataset	associatedParty	Other people or organizations who should be associated with this resource.		FALSE
dataset	pubDate	The publication date of the resource.		FALSE
dataset	language	The language in which the resource is written.		FALSE
dataset	series	The series from which the resource came.		FALSE
dataset	abstract	A brief overview of the resource.		FALSE
dataset	keywordSet	Keyword information that describes the resource.		FALSE
dataset	additionalInfo	Any extra information pertitent to the resource.		FALSE
dataset	intellectualRights	Intellectual property rights regarding usage and licensing of this resource.		FALSE
dataset	distribution	Information on how the resource is distributed online and offline		FALSE
dataset	coverage	Extent of the coverage of the resource.		FALSE
dataset	purpose	A description of the purpose of this dataset.		FALSE
dataset	maintenance	A description of the maintenance of this data resource.		FALSE
dataset	contact	The contact for this dataset		FALSE
dataset	publisher	The publisher of this data set		FALSE
dataset	pubPlace	The location that the resource was published.		FALSE
dataset	methods	The methods field documents scientific methods used in the collection of this dataset.		FALSE
dataset	project	The project field contains information on the project in which this dataset was collected.		FALSE
