parent	names	summary	details	attribute
software	shortName	A short name that describes the resource, sometimes a filename.		FALSE
software	title	A brief description of the resource, providing enough detail to differentiate it from other similar resources.		FALSE
software	creator	The people or organizations who created this resource.		FALSE
software	metadataProvider	The people or organizations who created provided documentation and other metadata for this resource.		FALSE
software	associatedParty	Other people or organizations who should be associated with this resource.		FALSE
software	pubDate	The publication date of the resource.		FALSE
software	language	The language in which the resource is written.		FALSE
software	series	The series from which the resource came.		FALSE
software	abstract	A brief overview of the resource.		FALSE
software	keywordSet	Keyword information that describes the resource.		FALSE
software	additionalInfo	Any extra information pertitent to the resource.		FALSE
software	intellectualRights	Intellectual property rights regarding usage and licensing of this resource.		FALSE
software	distribution	Information on how the resource is distributed online and offline		FALSE
software	coverage	Extent of the coverage of the resource.		FALSE
software	implementation	Describes the hardware and/or operating system requirements for one implementation of a package.		FALSE
software	dependency	This fields documents any dependencies that this software package in general might have.		FALSE
software	licenseURL	URL where the license can be found		FALSE
software	license	Text of the license		FALSE
software	version	Version of the software being packaged.		FALSE
software	project			FALSE
software	references	The id of another element in this EML document to be used to here in this context.		FALSE
software	id			TRUE
software	system			TRUE
software	scope			TRUE
subStep	description	Description of the methods employed in collecting or generating a data set or other resource or in quality control and assurance.		FALSE
subStep	citation	Literature citation relating to the methods used.		FALSE
subStep	protocol	Protocol description relating to the methods used.		FALSE
subStep	instrumentation	Instruments used for measurement and recording data.		FALSE
subStep	software	Software used in the processing of data.		FALSE
subStep	subStep			FALSE
individualName	salutation	The salutation used to address an individual		FALSE
individualName	givenName	The given name of the individual.		FALSE
individualName	surName	The last name of the individual.		FALSE
organizationName	value			FALSE
organizationName	xml:lang			TRUE
positionName	value			FALSE
positionName	xml:lang			TRUE
address	deliveryPoint	The location for postal deliveries.		FALSE
address	city	The name of the city for the contact.		FALSE
address	administrativeArea	The political area of a country.		FALSE
address	postalCode	The postal code used for routing to an address.		FALSE
address	country	The name of the country for the contact's address.		FALSE
address	references	The id of another element in this EML document to be used to here in this context.		FALSE
address	id			TRUE
address	system			TRUE
address	scope			TRUE
phone	phonetype	The type of the phone to which this number applies		TRUE
electronicMailAddress	value			FALSE
electronicMailAddress	xml:lang			TRUE
userId	directory	The directory system within which the directoryId can be retrieved.		TRUE
salutation	value			FALSE
salutation	xml:lang			TRUE
givenName	value			FALSE
givenName	xml:lang			TRUE
surName	value			FALSE
surName	xml:lang			TRUE
deliveryPoint	value			FALSE
deliveryPoint	xml:lang			TRUE
city	value			FALSE
city	xml:lang			TRUE
administrativeArea	value			FALSE
administrativeArea	xml:lang			TRUE
postalCode	value			FALSE
postalCode	xml:lang			TRUE
country	value			FALSE
country	xml:lang			TRUE
party	individualName	The full name of the person being described		FALSE
party	organizationName	The full name of the organization being described		FALSE
party	positionName	The name of the title or position associated with the resource.		FALSE
party	address	The full address information for a given responsible party entry.		FALSE
party	phone	Information about the contact's telephone		FALSE
party	electronicMailAddress	The email address of the contact.		FALSE
party	onlineUrl	A link to associated online information, usually a web site.		FALSE
party	userId	An identifier that links this party to a directory of personnel		FALSE
party	references	The id of another element in this EML document to be used to here in this context.		FALSE
party	id			TRUE
party	system			TRUE
party	scope			TRUE
size	unit	Unit of measurement for the entity size, by default byte		TRUE
authentication	method	The method used to calculate an authentication checksum.		TRUE
dataFormat	textFormat	Description of a text formatted object		FALSE
dataFormat	externallyDefinedFormat	Information about a non-text or proprietary formatted object.		FALSE
dataFormat	binaryRasterFormat	Contains binary raster data header parameters		FALSE
textFormat	numHeaderLines	Number of header lines preceding data.		FALSE
textFormat	numFooterLines	Number of footer lines following data.		FALSE
textFormat	recordDelimiter	Character used to delimit records.		FALSE
textFormat	physicalLineDelimiter	Character used to delimit physical lines.		FALSE
textFormat	numPhysicalLinesPerRecord	The number of physical lines in the file spanned by a single logical data record.		FALSE
textFormat	maxRecordLength	The maximum number of characters in any record in the physical file.		FALSE
textFormat	attributeOrientation	Orientation of attributes.		FALSE
textFormat	simpleDelimited	A simple delimited format.		FALSE
textFormat	complex	A complex text format.		FALSE
simpleDelimited	fieldDelimiter	Character used to delimit the end of an attribute		FALSE
simpleDelimited	collapseDelimiters	Specification of how to handle consecutive delimiters while parsing		FALSE
simpleDelimited	quoteCharacter	Character used to quote values for delimiter escaping		FALSE
simpleDelimited	literalCharacter	Character used to escape other special characters		FALSE
complex	textFixed	Describes the physical format of data sequences that use a fixed number of characters in a specified position in the stream to locate attribute values.		FALSE
complex	textDelimited	Describes the physical format of data sequences that use delimiters in the stream to locate attribute values.		FALSE
textFixed	fieldWidth	Field width in characters for fixed field length.		FALSE
textFixed	lineNumber	The line on which the data field is found, when the data record is written over more than one physical line in the file.		FALSE
textFixed	fieldStartColumn	The starting column number for a fixed format attribute.		FALSE
textDelimited	fieldDelimiter	Character used to delimit the end of a particular attribute		FALSE
textDelimited	collapseDelimiters	Specification of how to handle consecutive delimiters while parsing		FALSE
textDelimited	lineNumber	The line on which the data field is found, when the data record is written over more than one physical line in the file.		FALSE
textDelimited	quoteCharacter	Character used to quote values for delimiter escaping		FALSE
textDelimited	literalCharacter	Character used to escape other special characters		FALSE
externallyDefinedFormat	formatName	Name of the format of the data object		FALSE
externallyDefinedFormat	formatVersion	Version of the format of the data object		FALSE
externallyDefinedFormat	citation	Citation providing more details about the physical format.		FALSE
binaryRasterFormat	rowColumnOrientation	Orientation for reading rows and columns.		FALSE
binaryRasterFormat	multiBand	Multiple band image information.		FALSE
binaryRasterFormat	nbits	The number of bits per pixel per band.		FALSE
binaryRasterFormat	byteorder	The byte order in which values are stored.		FALSE
binaryRasterFormat	skipbytes	The number of bytes of data in the image file to skip in order to reach the start of the image data.		FALSE
binaryRasterFormat	bandrowbytes	The number of bytes per band per row.		FALSE
binaryRasterFormat	totalrowbytes	The total number of bytes of data per row.		FALSE
binaryRasterFormat	bandgapbytes	The number of bytes between bands in a BSQ format image.		FALSE
multiBand	nbands	The number of spectral bands in the image.		FALSE
multiBand	layout	The organization of the bands in the image file.		FALSE
distribution	online	online		FALSE
distribution	offline	offline		FALSE
distribution	inline	inline		FALSE
distribution	access	access		FALSE
distribution	references	The id of another element in this EML document to be used to here in this context.		FALSE
distribution	id			TRUE
distribution	system			TRUE
distribution	scope			TRUE
online	onlineDescription	onlineDescription		FALSE
online	url	url		FALSE
online	connection	connection		FALSE
offline	mediumName	Name of the medium that for this resource distribution		FALSE
offline	mediumDensity	the density of the digital medium if this is relevant.		FALSE
offline	mediumDensityUnits	a numerical density's units		FALSE
offline	mediumVolume	total volume of the storage medium		FALSE
offline	mediumFormat	format of the medium on which the resource is shipped.		FALSE
offline	mediumNote	note about the media		FALSE
url	function			TRUE
connection	connectionDefinition	Connection Definition		FALSE
connection	parameter	A parameter to be used to make this connection.		FALSE
connection	references	The id of another element in this EML document to be used to here in this context.		FALSE
connection	id			TRUE
connection	system			TRUE
connection	scope			TRUE
researchProject	title	Title of the project.		FALSE
researchProject	personnel	Contact and role information for people involved in the research project.		FALSE
researchProject	abstract	Project Abstract.		FALSE
researchProject	funding	Funding information.		FALSE
researchProject	studyAreaDescription	Description of the physical area associated with the research project, potentially including coverage, climate, geology, disturbances, etc.		FALSE
researchProject	designDescription	Description of the design of the research project		FALSE
researchProject	relatedProject	This field is a recursive link to another project.		FALSE
researchProject	references	The id of another element in this EML document to be used to here in this context.		FALSE
researchProject	id			TRUE
researchProject	system			TRUE
researchProject	scope			TRUE
personnel	individualName	The full name of the person being described		FALSE
personnel	organizationName	The full name of the organization being described		FALSE
personnel	positionName	The name of the title or position associated with the resource.		FALSE
personnel	address	The full address information for a given responsible party entry.		FALSE
personnel	phone	Information about the contact's telephone		FALSE
personnel	electronicMailAddress	The email address of the contact.		FALSE
personnel	onlineUrl	A link to associated online information, usually a web site.		FALSE
personnel	userId	An identifier that links this party to a directory of personnel		FALSE
personnel	references	The id of another element in this EML document to be used to here in this context.		FALSE
personnel	id			TRUE
personnel	system			TRUE
personnel	scope			TRUE
personnel	role	Role information for people involved in the research project.		FALSE
abstract	section	A section of related text.		FALSE
abstract	para	A simple paragraph of text.		FALSE
abstract	xml:lang			TRUE
funding	section	A section of related text.		FALSE
funding	para	A simple paragraph of text.		FALSE
funding	xml:lang			TRUE
studyAreaDescription	descriptor	Description of non-coverage characteristics of the study area such as climate, geology, disturbances		FALSE
studyAreaDescription	citation	The citation for this descriptor.		FALSE
studyAreaDescription	coverage	The coverage of this descriptor.		FALSE
descriptor	descriptorValue	Description of some aspect of the study area.		FALSE
descriptor	citation	A citation for this descriptor.		FALSE
descriptor	name	The name of the descriptor system.		TRUE
descriptor	citableClassificationSystem	This boolean attribute defines whether this descriptor comes from a citable classification system or not.		TRUE
descriptorValue	name_or_id	The name part of a name/value pair of a descriptor; or ID portion of a classification, if applicable.		TRUE
designDescription	description	Textual description of research design.		FALSE
designDescription	citation	Citation that describes the research design.		FALSE
relatedProject	title	Title of the project.		FALSE
relatedProject	personnel	Contact and role information for people involved in the research project.		FALSE
relatedProject	abstract	Project Abstract.		FALSE
relatedProject	funding	Funding information.		FALSE
relatedProject	studyAreaDescription	Description of the physical area associated with the research project, potentially including coverage, climate, geology, disturbances, etc.		FALSE
relatedProject	designDescription	Description of the design of the research project		FALSE
relatedProject	relatedProject	This field is a recursive link to another project.		FALSE
relatedProject	references	The id of another element in this EML document to be used to here in this context.		FALSE
relatedProject	id			TRUE
relatedProject	system			TRUE
relatedProject	scope			TRUE
proceduralStep	description	Description of the methods employed in collecting or generating a data set or other resource or in quality control and assurance.		FALSE
proceduralStep	citation	Literature citation relating to the methods used.		FALSE
proceduralStep	protocol	Protocol description relating to the methods used.		FALSE
proceduralStep	instrumentation	Instruments used for measurement and recording data.		FALSE
proceduralStep	software	Software used in the processing of data.		FALSE
proceduralStep	subStep			FALSE
alternateIdentifier	system			TRUE
title	value			FALSE
title	xml:lang			TRUE
creator	individualName	The full name of the person being described		FALSE
creator	organizationName	The full name of the organization being described		FALSE
creator	positionName	The name of the title or position associated with the resource.		FALSE
creator	address	The full address information for a given responsible party entry.		FALSE
creator	phone	Information about the contact's telephone		FALSE
creator	electronicMailAddress	The email address of the contact.		FALSE
creator	onlineUrl	A link to associated online information, usually a web site.		FALSE
creator	userId	An identifier that links this party to a directory of personnel		FALSE
creator	references	The id of another element in this EML document to be used to here in this context.		FALSE
creator	id			TRUE
creator	system			TRUE
creator	scope			TRUE
metadataProvider	individualName	The full name of the person being described		FALSE
metadataProvider	organizationName	The full name of the organization being described		FALSE
metadataProvider	positionName	The name of the title or position associated with the resource.		FALSE
metadataProvider	address	The full address information for a given responsible party entry.		FALSE
metadataProvider	phone	Information about the contact's telephone		FALSE
metadataProvider	electronicMailAddress	The email address of the contact.		FALSE
metadataProvider	onlineUrl	A link to associated online information, usually a web site.		FALSE
metadataProvider	userId	An identifier that links this party to a directory of personnel		FALSE
metadataProvider	references	The id of another element in this EML document to be used to here in this context.		FALSE
metadataProvider	id			TRUE
metadataProvider	system			TRUE
metadataProvider	scope			TRUE
associatedParty	individualName	The full name of the person being described		FALSE
associatedParty	organizationName	The full name of the organization being described		FALSE
associatedParty	positionName	The name of the title or position associated with the resource.		FALSE
associatedParty	address	The full address information for a given responsible party entry.		FALSE
associatedParty	phone	Information about the contact's telephone		FALSE
associatedParty	electronicMailAddress	The email address of the contact.		FALSE
associatedParty	onlineUrl	A link to associated online information, usually a web site.		FALSE
associatedParty	userId	An identifier that links this party to a directory of personnel		FALSE
associatedParty	references	The id of another element in this EML document to be used to here in this context.		FALSE
associatedParty	id			TRUE
associatedParty	system			TRUE
associatedParty	scope			TRUE
associatedParty	role	The role the party played with respect to the resource.		FALSE
language	value			FALSE
language	xml:lang			TRUE
keywordSet	keyword	A single keyword that describes the resource.		FALSE
keywordSet	keywordThesaurus	The name of a thesaurus from which the keyword is derived.		FALSE
keyword	value			FALSE
keyword	xml:lang			TRUE
keyword	keywordType	The type of each keyword.		TRUE
intellectualRights	section	A section of related text.		FALSE
intellectualRights	para	A simple paragraph of text.		FALSE
intellectualRights	xml:lang			TRUE
distribution	online	Online distribution information		FALSE
distribution	offline	data are available offline		FALSE
distribution	inline	data distributed inline in the metadata.		FALSE
references	system			TRUE
online	onlineDescription	Brief description of the the content of online		FALSE
online	url	A URL or this resource.		FALSE
online	connection	A connection to a data service		FALSE
online	connectionDefinition	The definition of a connection that will be used in another location in the EML document		FALSE
schemeName	system	The system in which this scheme name is relevant		TRUE
parameterDefinition	name	The Name of a parameter that is needed to properly use this connection scheme.		FALSE
parameterDefinition	definition	The definition of a parameter that is needed to properly use this connection scheme.		FALSE
parameterDefinition	defaultValue	The default value for a parameter that is needed to properly use this connection scheme.		FALSE
onlineDescription	value			FALSE
onlineDescription	xml:lang			TRUE
connectionDefinition	schemeName	The name of the scheme used to identify this connection.		FALSE
connectionDefinition	description	The description of the scheme used to identify this connection.		FALSE
connectionDefinition	parameterDefinition	The definition of a parameter that is needed to properly use this connection scheme.		FALSE
connectionDefinition	references	The id of another element in this EML document to be used to here in this context.		FALSE
connectionDefinition	id			TRUE
connectionDefinition	system			TRUE
connectionDefinition	scope			TRUE
parameter	name	Name of the parameter to be used to make this connection.		FALSE
parameter	value	The value of the parameter to be used to make this connection.		FALSE
value	xml:lang			TRUE
implementation	distribution	Information on how the resource is distributed online and offline		FALSE
implementation	size	Physical size of an implementation.		FALSE
implementation	language	The International Language of the software implementation.		FALSE
implementation	operatingSystem	The operating system(s) an implementation runs on.		FALSE
implementation	machineProcessor	The machine processor(s) required for executing the implementation.		FALSE
implementation	virtualMachine	The virtual machine that the implementation requires.		FALSE
implementation	diskUsage	The minimum amount of Disk Space required to install this implementation.		FALSE
implementation	runtimeMemoryUsage	The minimum amount of memory required to run an implementation.		FALSE
implementation	programmingLanguage	The computer programming language the software package was programmed in.		FALSE
implementation	checksum	The generated checksum value of a software package that is a self-contained module.		FALSE
implementation	dependency	This fields documents any dependencies that this implementation might have.		FALSE
language	LanguageValue	The actual value for the language or a code for the language.		FALSE
language	LanguageCodeStandard	The International Language Code being used in the field languageValue.		FALSE
dependency	action	Describes what action needs to be undertaken (if any) for a software dependency at either the software package or implementation level.		FALSE
dependency	software			FALSE
spatialReference	horizCoordSysName	The name of a predefined coordinate system		FALSE
spatialReference	horizCoordSysDef	The definition of a coordinate system		FALSE
spatialReference	vertCoordSys	The reference frame or system from which vertical distances (altitudes or depths) are measured.		FALSE
spatialReference	references	The id of another element in this EML document to be used to here in this context.		FALSE
spatialReference	id			TRUE
spatialReference	system			TRUE
spatialReference	scope			TRUE
georeferenceInfo	cornerPoint	Location of a corner on a rectified grid within the coordinate system.		FALSE
georeferenceInfo	controlPoint	A point defined in both grid cell and georeferenced coordinates that is used to position the raster grid within the coordinate system defined in the spatialReference modoule.		FALSE
georeferenceInfo	bilinearFit	Terms of a bilinear model to fit the grid to the coordinate system.		FALSE
cornerPoint	xCoordinate	X Location of the georeferencing point in the X diminsion of the coordinate system.		FALSE
cornerPoint	yCoordinate	Location of the georeferencing point in the Y dimension of the coordinate system.		FALSE
cornerPoint	pointInPixel	Location within the pixel of the georeferencing point.		FALSE
cornerPoint	corner	Identification of the corner in the grid corresponding to the coordinates provided.		FALSE
controlPoint	column	Column location of the georeferencing point in the grid.		FALSE
controlPoint	row	Row location of the georeferencing point in the grid.		FALSE
controlPoint	xCoordinate	X Location of the georeferencing point in the X diminsion of the coordinate system.		FALSE
controlPoint	yCoordinate	Location of the georeferencing point in the Y dimension of the coordinate system.		FALSE
controlPoint	pointInPixel	Location within the pixel of the georeferencing point.		FALSE
bilinearFit	xIntercept	Location of the rasterOrigin point on the x axis of the the coordinate system.		FALSE
bilinearFit	xSlope	Slope describing transformation of grid cell distances into x coordinates.		FALSE
bilinearFit	yIntercept	Location of the rasterOrigin point on the y axis of the the coordinate system.		FALSE
bilinearFit	ySlope	Slope describing transformation of grid cell distances into y axis coordinates.		FALSE
horizontalAccuracy	accuracyReport	A qualitative statement about the accuracy of the data.		FALSE
horizontalAccuracy	quantitativeAccuracyReport	A quantitative assessment of the data quality.		FALSE
verticalAccuracy	accuracyReport	A qualitative statement about the accuracy of the data.		FALSE
verticalAccuracy	quantitativeAccuracyReport	A quantitative assessment of the data quality.		FALSE
imageDescription	illuminationElevationAngle	Illumination elevation measured in degrees clockwise from the target plane at intersection of the optical line of sight with the earth's surface.		FALSE
imageDescription	illuminationAzimuthAngle	Illumination azimuth measured in degrees clockwise from true north at the time the image is taken.		FALSE
imageDescription	imageOrientationAngle	Angle from the first row of the image to true north in degrees, clockwise.		FALSE
imageDescription	imagingCondition	Code which indicates conditions which affect the quality of the image.		FALSE
imageDescription	imageQualityCode	Specifies the image quality.		FALSE
imageDescription	cloudCoverPercentage	Area of the dataset obscured by clouds, expressed as a percentage of the spatial extent.		FALSE
imageDescription	preProcessingTypeCode	Image distributor's code that identifies the level of radiometric and geometric processing applied against the image.		FALSE
imageDescription	compressionGenerationQuality	Counts the number of lossy compression cycles performed on the image.		FALSE
imageDescription	triangulationIndicator	Code which indicates whether or not triangulation has been performed upon the image.		FALSE
imageDescription	radiometricDataAvailability	Code which indicates whether or not Standard Radiometric Product data is available.		FALSE
imageDescription	cameraCalibrationInformationAvailability	Code which indicates whether or not constants are available which allow for camera calibration corrections.		FALSE
imageDescription	filmDistortionInformationAvailability	Code which indicates whether or not Calibration Reseau information is available		FALSE
imageDescription	lensDistortionInformationAvailability	Code which indicates whether or not lens aberration correction information is available		FALSE
imageDescription	bandDescription	Description of the wavelength domain that the sensor operates in.		FALSE
bandDescription	sequenceIdentifier	Number that uniquely identifies instances of bands of wavelengths on which a sensor operates.		FALSE
bandDescription	highWavelength	Highest wavelength that the sensor is capable of collecting within a designated band in metres.		FALSE
bandDescription	lowWaveLength	Lowest wavelength that the sensor is capable of collecting within a designated band in metres.		FALSE
bandDescription	waveLengthUnits	Units in which the sensor wavelegths are expressed.		FALSE
bandDescription	peakResponse	Wavelength at which the response is the highest.		FALSE
quantitativeAccuracyReport	quantitativeAccuracyValue	The value resulting from the accuracy test.		FALSE
quantitativeAccuracyReport	quantitativeAccuracyMethod	The method used to calculate the accuracy value.		FALSE
horizCoordSysDef	geogCoordSys	The coodinate system used to express the geographic coordinates.		FALSE
horizCoordSysDef	projCoordSys	The coodinate system used to express planar coordinates.		FALSE
horizCoordSysDef	name			TRUE
vertCoordSys	altitudeSysDef	the reference frame or system from which altitudes (elevations) are measured.		FALSE
vertCoordSys	depthSysDef	The reference frame or system from which depths are measured.		FALSE
altitudeSysDef	altitudeDatumName	The identification given to the surface taken as the surface of reference from which altitudes are measured.		FALSE
altitudeSysDef	altitudeResolution	The minimum distance possible between two adjacent altitude values, expressed in Altitude Distance Units of measure.		FALSE
altitudeSysDef	altitudeDistanceUnits	Units in which altitude is measured.		FALSE
altitudeSysDef	altitudeEncodingMethod	The means used to encode the altitudes.		FALSE
depthSysDef	depthDatumName	The identification given to surface of reference from which depths are measured.		FALSE
depthSysDef	depthResolution	The minimum distance possible between two adjacent depth values, expressed in Depth Distance Units of measure.		FALSE
depthSysDef	depthDistanceUnits	The units in which depths are recorded.		FALSE
depthSysDef	depthEncodingMethod	The means used to encode depths.		FALSE
datum	name			TRUE
spheroid	name	The name of the spheroid.		TRUE
spheroid	semiAxisMajor	The larger of two orthogonal axes that define the ellipse		TRUE
spheroid	denomFlatRatio			TRUE
primeMeridian	name	The name of the Prime Meridian		TRUE
primeMeridian	longitude	The longitude of the Prime Meridian		TRUE
unit	name	The name of the unit of measure .		TRUE
geogCoordSys	datum	The point on the earth representing the origin for the geographic coordinates to which the coorinate system is related to.		FALSE
geogCoordSys	spheroid	An ellipse that is used to model the earth's surface.		FALSE
geogCoordSys	primeMeridian			FALSE
geogCoordSys	unit	The unit of angle by which coordinates are expressed.		FALSE
geogCoordSys	name			TRUE
projCoordSys	geogCoordSys	The coodinate system used to express the geographic coordinates.		FALSE
projCoordSys	projection	The method used to tranform between geographic and planar coordinates.		FALSE
projection	parameter	A parameter required by the projection method.		FALSE
projection	unit	The unit of measure coordinates are expressed in.		FALSE
projection	name	The name of the projection method.		TRUE
parameter	name	The name of the parameter.		TRUE
parameter	description	A description of the Parameter.		TRUE
parameter	value	The value supplied for the parameter		TRUE
unit	name	The name of the unit of measure.		TRUE
projectionList	horizCoordSysDef	The definition of a coordinate system		FALSE
parameter	name	The name of the parameter.		FALSE
parameter	domainDescription	A description of domain of valid values for the parameter.		FALSE
parameter	required	Whether or not the parameter is required.		FALSE
parameter	repeats	Whether or not the parameter repeats.		FALSE
text	section	A section of related text.		FALSE
text	para	A simple paragraph of text.		FALSE
text	xml:lang			TRUE
section	title	The optional title of the section.		FALSE
section	para	A simple paragraph of text.		FALSE
section	section	A section of related text.		FALSE
section	xml:lang			TRUE
para	value	Language translation for the paragraph		FALSE
para	itemizedlist	A list of items in a text paragraph.		FALSE
para	orderedlist	An ordered list of items in a text paragraph.		FALSE
para	emphasis	A span of emphasized text in a paragraph.		FALSE
para	subscript	A subscript in a text paragraph.		FALSE
para	superscript	A superscript in a text paragraph.		FALSE
para	literalLayout	The equivalent to <pre> in html.		FALSE
para	ulink	a link that addresses its target by means of a URL		FALSE
para	xml:lang			TRUE
value	xml:lang	language code for element content		TRUE
itemizedlist	listitem	An item in a list of items.		FALSE
orderedlist	listitem	An item in a list of items.		FALSE
emphasis	value			FALSE
emphasis	xml:lang			TRUE
subscript	value	Language translation for the sub/superscript		FALSE
subscript	subscript	A subscript in a text paragraph.		FALSE
subscript	superscript	A superscript in a text paragraph.		FALSE
subscript	xml:lang			TRUE
superscript	value	Language translation for the sub/superscript		FALSE
superscript	subscript	A subscript in a text paragraph.		FALSE
superscript	superscript	A superscript in a text paragraph.		FALSE
superscript	xml:lang			TRUE
literalLayout	value			FALSE
ulink	citetitle	the title of the cited work		FALSE
ulink	url	the Uniform Resource Locator for the cited work		TRUE
citetitle	xml:lang	language code for element content		TRUE
title	xml:lang	language code for element content		TRUE
listitem	para	A simple paragraph of text.		FALSE
listitem	itemizedlist	A list of items in a text paragraph.		FALSE
listitem	orderedlist	An ordered list of items in a text paragraph.		FALSE
eml	access	Access control rules for the entire resource, which can be overridden by access rules in distribution trees		FALSE
eml	dataset	A resource that describes a data set, which can include one or more data entities such as data tables.		FALSE
eml	citation	A resource that describes a literature citation that one might find in a bibliography.		FALSE
eml	software	A resource that describes a software package, which can include commercial and non-commercial software as well as data processing programs.		FALSE
eml	protocol	A resource that describes a scientific protocol, which can include one or more descriptions of methods and procedures.		FALSE
eml	additionalMetadata	A flexible field for including any other relevant metadata that pertains to the resource being described.		FALSE
eml	packageId	A unique identifier for this entire EML metadata document that can be used to reference it elsewhere.		TRUE
eml	system			TRUE
eml	scope	The scope of the identifier.		TRUE
eml	xml:lang			TRUE
additionalMetadata	describes	A pointer to the id attribute for the sub-portion of the resource that is described by this additional metadata.		FALSE
additionalMetadata	metadata	This element contains the additional metadata that is to be included in the document. The content of this field can be any well-formed XML fragment.		FALSE
additionalMetadata	id			TRUE
